Iteration_Identifier,time,HSFA1,HSPR,C_HSFA1_HSPR,MMP,FMP,C_HSPR_MMP,HSFA2,HSFB
Iteration 0,9.794808042134841,0,42,72,0,173,13,1,1
Iteration 0,9.826370999035074,0,42,72,0,172,13,1,1
Iteration 0,9.849158294287108,0,42,72,0,171,13,1,1
Iteration 0,9.852387917133463,0,42,72,0,172,13,1,1
Iteration 0,9.857525493530442,0,42,72,0,173,13,1,1
Iteration 0,9.919839292450053,1,43,71,0,173,13,1,1
Iteration 0,9.920907816150274,0,42,72,0,173,13,1,1
Iteration 0,10.012904689554155,0,42,72,0,172,13,1,1
Iteration 0,10.087223643694509,1,43,71,0,172,13,1,1
Iteration 0,10.087453319497207,0,42,72,0,172,13,1,1
Iteration 0,10.100102405576012,0,42,72,0,173,13,1,1
Iteration 0,10.106741016415015,1,42,72,0,173,13,1,1
Iteration 0,10.107243415688803,0,41,73,0,173,13,1,1
Iteration 0,10.114873899083197,1,42,72,0,173,13,1,1
Iteration 0,10.116996624270147,0,41,73,0,173,13,1,1
Iteration 0,10.123495342896653,0,41,73,0,174,13,1,1
Iteration 0,10.231420576999373,1,41,73,0,174,13,1,1
Iteration 0,10.23204017990424,0,40,74,0,174,13,1,1
Iteration 0,10.323072706781888,1,41,73,0,174,13,1,1
Iteration 0,10.324041737869026,0,40,74,0,174,13,1,1
Iteration 0,10.355964273987121,1,41,73,0,174,13,1,1
Iteration 0,10.363575182062226,0,40,74,0,174,13,1,1
Iteration 0,10.405196020801906,0,40,74,1,173,13,1,1
Iteration 0,10.429265413056045,0,40,74,1,172,13,1,1
Iteration 0,10.45173062814393,0,40,74,1,173,13,1,1
Iteration 0,10.466014716095742,0,39,74,0,173,14,1,1
